42,45,2
42,48,2
43,45.5,2
43,47.5,2
36,39.5,4
35.5,41.5,4
36,43,4
35.5,50,4
35.6666666666667,51.3333333333333,4
36,53.5,4
37.5,39.5,4
37.5,41.5,4
37,50,4
37.5,51.5,4
37.5,53.5,4
39,39.5,4
39,41,4
39.75,43.75,3.75
39.6666666666667,45.5,3.66666666666667
39.6666666666667,47.5,3.66666666666667
39.6666666666667,49,3.66666666666667
39,52,4
39,53.5,4
41.4285714285714,43.5714285714286,3.57142857142857
41.5,45.5,3.5
41.5,47.5,3.5
41.4,49.2,3.6
43.3333333333333,44,3.66666666666667
43.5,45.5,3.5
43.5,47.5,3.5
43,49,4
45,45,4
45,48,4
30,30,6
30,31.5,6
29.5,33.5,6
29.6666666666667,35.3333333333333,6
30,37,6
30,56,6
29.6666666666667,57.6666666666667,6
29.5,59.5,6
30,61.5,6
32,28,6
31.5,29.5,6
31.5,31.5,6
31.5,33.5,6
31.5,35.5,6
31.5,37.5,6
32,39,6
32,53.5,6
31.5,55.5,6
31.5,57.5,6
31.5,59.5,6
31.5,61.5,6
31.5,63.5,6
32,65,6
33.5,28,6
33.5,29.5,6
33.5,31.5,6
33.5,33.5,6
33.5,35.5,6
33.6,37.6,5.8
33.6666666666667,39.5,5.66666666666667
33.5714285714286,41.5714285714286,5.57142857142857
33.5714285714286,43.4285714285714,5.57142857142857
34,45,6
33.5,48,6
33.5714285714286,49.5714285714286,5.57142857142857
33.5714285714286,51.4285714285714,5.57142857142857
33.6666666666667,53.5,5.66666666666667
33.6,55.4,5.8
33.5,57.5,6
33.5,59.5,6
33.5,61.5,6
33.5,63.5,6
33.5,65,6
35.5,28,6
35.5,29.5,6
35.5,31.5,6
35.5,33.5,6
35.5,35.5,6
35.5,37.5,5.5
35.5,39.5,5.5
35.5,41.5,5.5
35.5,43.5,5.5
35.5,45,6
35.3333333333333,48,5.66666666666667
35.5,49.5,5.5
35.5,51.5,5.5
35.5,53.5,5.5
35.5,55.5,5.5
35.5,57.5,6
35.5,59.5,6
35.5,61.5,6
35.5,63.5,6
35,65,6
37,29.5,6
37,31,6
37,33.5,6
37.5,35.5,6
37.4285714285714,37.5714285714286,5.57142857142857
37.5,39.5,5.5
37.5,41.5,5.5
37.4285714285714,43.4285714285714,5.57142857142857
37,48,6
37.4285714285714,49.5714285714286,5.57142857142857
37.5,51.5,5.5
37.5,53.5,5.5
37.5,55.3333333333333,5.66666666666667
37.5,57.5,6
37,59.5,6
37,62,6
37,63,6
39,36,6
39.5,37.6666666666667,5.66666666666667
39.5,39.5,5.5
39.4285714285714,41.4285714285714,5.57142857142857
39.5714285714286,43.5714285714286,5.57142857142857
39.5,45.5,5.5
39.5,47.5,5.5
39.5,49.5,5.5
39.5,51.5,5.5
39.5,53.5,5.5
39.4,55.4,5.8
39,57,6
41,38,6
41.3333333333333,39.5,5.66666666666667
41,41,6
41.5,43.5,5.5
41.5,45.5,5.5
41.5,47.5,5.5
41.5,49.5,5.5
41,52,6
41.3333333333333,53.5,5.66666666666667
41,55,6
43.4285714285714,43.5714285714286,5.57142857142857
43.5,45.5,5.5
43.5,47.5,5.5
43.4,49.2,5.6
45,44,6
45.2,45.4,5.6
45.3333333333333,47.5,5.66666666666667
45,49,6
26,32,8
26,33.5,8
26,35.5,8
26,37.5,8
26,55.5,8
26,57.5,8
26,59.5,8
26,61,8
28,28,8
27.6,29.6,7.8
27.6666666666667,31.5,7.66666666666667
27.5,33.5,7.5
27.5,35.5,7.5
27.6666666666667,37.5,7.66666666666667
27.6666666666667,39.3333333333333,8
27.6666666666667,53.6666666666667,8
27.6666666666667,55.5,7.66666666666667
27.5,57.5,7.5
27.5,59.5,7.5
27.6666666666667,61.5,7.66666666666667
27.5,63.5,8
28,65,8
30,26,8
29.6,27.6,7.8
29.5,29.5,7.5
29.5,31.5,7.5
29.5,33.5,7.5
29.5,35.5,7.5
29.5,37.5,7.5
29.5714285714286,39.4285714285714,7.57142857142857
29.5,41,8
29.5,52,8
29.5714285714286,53.5714285714286,7.57142857142857
29.5,55.5,7.5
29.5,57.5,7.5
29.5,59.5,7.5
29.5,61.5,7.5
29.5,63.5,7.5
29.6,65.4,7.8
30,67,8
31.6,25.6,7.8
31.5,27.5,7.5
31.5,29.5,7.5
31.5,31.5,7.5
31.5,33.5,7.5
31.5,35.5,7.5
31.5,37.5,7.5
31.5,39.5,7.5
31.5714285714286,41.4285714285714,7.57142857142857
31.8,43.4,7.6
32,45,8
32,48,7.5
31.8,49.6,7.6
31.5714285714286,51.5714285714286,7.57142857142857
31.5,53.5,7.5
31.5,55.5,7.5
31.5,57.5,7.5
31.5,59.5,7.5
31.5,61.5,7.5
31.5,63.5,7.5
31.5,65.5,7.5
31.6,67.4,7.8
33.5,24,8
33.5714285714286,25.5714285714286,7.57142857142857
33.5,27.5,7.5
33.5,29.5,7.5
33.5,31.5,7.5
33.5,33.5,7.5
33.5,35.5,7.5
33.5,37.5,7.5
33.5,39.5,7.5
33.5,41.5,7.5
33.5,43.5,7.5
33.6,45.2,7.6
33.5714285714286,47.5714285714286,7.57142857142857
33.5,49.5,7.5
33.5,51.5,7.5
33.5,53.5,7.5
33.5,55.5,7.5
33.5,57.5,7.5
33.5,59.5,7.5
33.5,61.5,7.5
33.5,63.5,7.5
33.5,65.5,7.5
33.5,67.3333333333333,7.66666666666667
34,69,8
35,24,8
35.5,25.6666666666667,7.66666666666667
35.5,27.5,7.5
35.5,29.5,7.5
35.5,31.5,7.5
35.5,33.5,7.5
35.5,35.5,7.5
35.5,37.5,7.5
35.5,39.5,7.5
35.5,41.5,7.5
35.5,43.5,7.5
35.5,45.3333333333333,7.66666666666667
35.5,47.5,7.5
35.5,49.5,7.5
35.5,51.5,7.5
35.5,53.3333333333333,7.33333333333333
35.5,55.5,7.5
35.5,57.5,7.5
35.5,59.5,7.5
35.5,61.5,7.5
35.5,63.5,7.5
35.5,65.5,7.5
35.5,67.3333333333333,7.66666666666667
37.3333333333333,25.6666666666667,8
37.4285714285714,27.5714285714286,7.57142857142857
37.5,29.5,7.5
37.5,31.5,7.5
37.5,33.5,7.5
37.5,35.5,7.5
37.5,37.5,7.5
37.5,39.5,7.5
37.5,41.5,7.5
37.5,43.5,7.5
37.3333333333333,45,7.66666666666667
37.25,47.75,7.75
37.5,49.5,7.5
37.5,51.5,7.5
37.5,53.5,7.5
37.5,55.5,7.5
37.5,57.5,7.5
37.5,59.5,7.5
37.5,61.5,7.5
37.5,63.5,7.5
37.4285714285714,65.4285714285714,7.57142857142857
37.3333333333333,67.3333333333333,8
39,27.5,8
39.4,29.6,7.8
39.3333333333333,31.5,7.66666666666667
39.5,33.5,7.5
39.5,35.5,7.5
39.5,37.5,7.5
39.5,39.5,7.5
39.5,41.5,7.5
39.5714285714286,43.4285714285714,7.42857142857143
39.5714285714286,45.5714285714286,7.42857142857143
39.5714285714286,47.4285714285714,7.42857142857143
39.5,49.5,7.5
39.5,51.5,7.5
39.5,53.5,7.5
39.5,55.5,7.5
39.5,57.5,7.5
39.5,59.5,7.5
39.3333333333333,61.5,7.66666666666667
39.4,63.4,7.8
39,65.5,8
41,31.5,8
41.3333333333333,33.6666666666667,8
41.4,35.6,7.8
41.5,37.5,7.5
41.5,39.5,7.5
41.2,41.4,7.6
41.5,43.5,7.5
41.5,45.5,7.5
41.5,47.5,7.5
41.5,49.5,7.5
41.3333333333333,51.6666666666667,7.5
41.5,53.5,7.5
41.4285714285714,55.4285714285714,7.57142857142857
41.4,57.4,7.8
41.3333333333333,59.3333333333333,8
41,61,8
43,38,8
43,39,8
43.5,43.5,7.5
43.5,45.5,7.5
43.5,47.5,7.5
43.5,49.5,7.5
43,54,8
43,55,8
45,42,8
45.4285714285714,43.5714285714286,7.57142857142857
45.5,45.5,7.5
45.5,47.5,7.5
45.4285714285714,49.4285714285714,7.57142857142857
47,44,8
47,45,7.5
47,47.6666666666667,7.66666666666667
24,31.5,10
24,33.5,10
23.6666666666667,35.5,9.66666666666667
23.6,37.4,9.8
24,39.5,10
24,53.5,10
23.6,55.6,9.8
23.6666666666667,57.5,9.66666666666667
24,59.5,10
24,61.5,10
26,27.5,10
25.6666666666667,29.5,9.66666666666667
25.5,31.5,9.5
25.5,33.5,9.5
25.5,35.5,9.5
25.5,37.5,9.5
25.5714285714286,39.4285714285714,9.57142857142857
25.5,41,10
25.6666666666667,51.6666666666667,10
25.5714285714286,53.5714285714286,9.57142857142857
25.5,55.5,9.5
25.5,57.5,9.5
25.5,59.5,9.5
25.5,61.5,9.5
25.6666666666667,63.5,9.66666666666667
26,65.5,10
27.75,25.75,9.75
27.5,27.5,9.5
27.5,29.5,9.5
27.5,31.5,9.5
27.5,33.5,9.5
27.5,35.5,9.5
27.5,37.5,9.5
27.5,39.5,9.5
27.5,41.3333333333333,9.66666666666667
27.5714285714286,51.5714285714286,9.57142857142857
27.5,53.5,9.5
27.5,55.5,9.5
27.5,57.5,9.5
27.5,59.5,9.5
27.5,61.5,9.5
27.5,63.5,9.5
27.5,65.5,9.5
27.75,67.25,9.75
29.5,24,10
29.5,25.5,9.5
29.5,27.5,9.5
29.5,29.5,9.5
29.5,31.5,9.5
29.5,33.5,9.5
29.5,35.5,9.5
29.5,37.5,9.5
29.5,39.5,9.5
29.5,41.5,9.5
30,50,10
29.5,51.5,9.5
29.5,53.5,9.5
29.5,55.5,9.5
29.5,57.5,9.5
29.5,59.5,9.5
29.5,61.5,9.5
29.5,63.5,9.5
29.5,65.5,9.5
29.5714285714286,67.4285714285714,9.57142857142857
30,69,10
31.5,23.6666666666667,9.66666666666667
31.5,25.5,9.5
31.5,27.5,9.5
31.5,29.5,9.5
31.5,31.5,9.5
31.5,33.5,9.33333333333333
31.5,35.5,9.5
31.5,37.5,9.5
31.5,39.5,9.5
31.5,41.5,9.5
31.5714285714286,43.4285714285714,9.57142857142857
32,45,9.5
32,48,9.5
31.5,49.5,9.5
31.5,51.5,9.5
31.5,53.5,9.5
31.5,55.5,9.5
31.5,57.5,9.5
31.5,59.5,9.33333333333333
31.5,61.5,9.5
31.5,63.5,9.5
31.5,65.5,9.5
31.5,67.5,9.5
31.5,69.3333333333333,9.66666666666667
33.5,22,10
33.5,23.5,9.5
33.5,25.5,9.5
33.5,27.5,9.5
33.5,29.5,9.5
